Date,US 10 Year,UK 10 Year,US 3 month,UK 3 month,US Stock Market,UK Stock Market,USDperGBP
1971-03-31,0.004608333333333333,0.007508333333333333,0.0030333333333333336,0.0055583333333333335,49.3719571,34.7415,2.4168
1971-04-30,0.005066666666666666,0.007641666666666666,0.003275,0.004791666666666666,51.2905986,38.8908,2.4193
1971-05-31,0.005316666666666667,0.007791666666666666,0.0036166666666666665,0.0047083333333333335,49.2864451,40.3925,2.4178
1971-06-30,0.005583333333333333,0.007575,0.00435,0.004675,49.4488975,41.2886,2.4196
1971-07-31,0.005708333333333333,0.007575,0.004424999999999999,0.004641666666666667,47.5330724,44.4815,2.4184
1971-08-31,0.005233333333333334,0.007683333333333334,0.0037,0.0048,49.3768453,44.7613,2.4535
1971-09-30,0.005,0.0072499999999999995,0.003833333333333333,0.004033333333333333,49.1611105,44.9473,2.4847
1971-10-31,0.0048916666666666666,0.007216666666666666,0.003591666666666666,0.0038583333333333334,47.2344546,44.2017,2.4914
1971-11-30,0.004941666666666666,0.007033333333333333,0.0036166666666666665,0.003741666666666667,47.2425364,45.5246,2.4937
1971-12-31,0.004908333333333333,0.006941666666666666,0.0030666666666666668,0.0037,51.4425812,48.3739,2.552
1972-01-31,0.005075,0.006775000000000001,0.0027916666666666667,0.0036333333333333335,52.5035406,50.6248,2.5937
1972-02-29,0.005033333333333333,0.007,0.0028833333333333332,0.0036416666666666667,53.7688264,53.7823,2.6059
1972-03-31,0.0051,0.007275,0.003191666666666667,0.0036166666666666665,54.4096033,54.8732,2.6163
1972-04-30,0.005116666666666666,0.007183333333333332,0.003025,0.0035833333333333333,54.7779422,57.2214,2.611
1972-05-31,0.0050416666666666665,0.007933333333333332,0.003175,0.003558333333333333,55.7624647,55.0609,2.613
1972-06-30,0.005125,0.007791666666666666,0.003383333333333333,0.004341666666666666,54.7661565,52.4222,2.441
1972-07-31,0.0051,0.007716666666666667,0.0031666666666666666,0.004666666666666666,55.0252356,55.601,2.4498
1972-08-31,0.00535,0.008166666666666668,0.0037916666666666667,0.004825,57.0524602,56.8424,2.4483
1972-09-30,0.00545,0.00805,0.0037916666666666667,0.005366666666666667,56.9071347,50.9294,2.4195
1972-10-31,0.0053416666666666664,0.007975,0.003966666666666666,0.0056166666666666665,57.5723192,52.9287,2.3405
1972-11-30,0.005233333333333334,0.008016666666666667,0.004066666666666666,0.005733333333333333,60.4374979,57.209,2.3522
1972-12-31,0.0053416666666666664,0.00805,0.0042833333333333334,0.006466666666666667,61.1835476,56.2863,2.348
1973-01-31,0.00545,0.007933333333333332,0.004733333333333333,0.006841666666666668,60.2734227,50.8355,2.3817
1973-02-28,0.005533333333333333,0.008333333333333333,0.004875,0.006733333333333333,58.1510529,49.0297,2.4905
1973-03-31,0.005608333333333334,0.008591666666666668,0.005333333333333334,0.006725,58.205169,49.3348,2.477
1973-04-30,0.005583333333333333,0.00855,0.005191666666666667,0.006391666666666667,55.9704477,49.7809,2.49
1973-05-31,0.005775,0.008458333333333333,0.0057666666666666665,0.0061333333333333335,55.0540001,50.4305,2.5682
1973-06-30,0.005783333333333334,0.00855,0.006266666666666666,0.0058,54.8328763,50.414,2.585
1973-07-31,0.0061916666666666665,0.009008333333333333,0.006933333333333334,0.009075,57.0587743,47.9186,2.5276
1973-08-31,0.0060416666666666665,0.009366666666666667,0.007216666666666666,0.009141666666666668,55.1094265,46.4235,2.4595
1973-09-30,0.00575,0.009575,0.005816666666666667,0.009116666666666667,57.4633429,48.1214,2.4148
1973-10-31,0.005591666666666667,0.009366666666666667,0.0061333333333333335,0.008891666666666666,57.5383606,49.723,2.4397
1973-11-30,0.005575,0.0101,0.006083333333333333,0.010374999999999999,51.1365512,43.403,2.345
1973-12-31,0.00575,0.009983333333333334,0.006216666666666666,0.01035,52.1337402,40.1561,2.3225
1974-01-31,0.005833333333333334,0.010616666666666667,0.006233333333333334,0.010025,51.7631075,38.5005,2.27
1974-02-28,0.005841666666666667,0.011416666666666665,0.006216666666666666,0.01015,51.7293687,40.3562,2.3075
